pmid,year,title,authors,journal,category,tags,doi,pmc,url
42026122,2026,Radioluminescence 3D dose reconstruction for FLASH and conventional radiotherapy.,Pizzardi S; Alborghetti L; Vurro F; Perna L; Broggi S; Di Martino F; Masturzo L; Cavalieri A; Fiorino C; Spinelli AE,Scientific reports,Physics & Dosimetry,Physics & Dosimetry; Modeling & Mechanisms; Beam Delivery & Technology,10.1038/s41598-026-48566-4,PMC13272964,https://pubmed.ncbi.nlm.nih.gov/42026122/
42013902,2026,Ultra-high dose rate dependent modeling of plasmid DNA damage with TOPAS-nBio.,Masilela TAM; D-Kondo JN; Shin WG; Rezaee M; LaVerne JA; Paganetti H; Faddegon B; Schuemann J; Ramos-Méndez J,Physics in medicine and biology,Modeling & Mechanisms,Modeling & Mechanisms; Radiobiology,10.1088/1361-6560/ae62c6,PMC13348512,https://pubmed.ncbi.nlm.nih.gov/42013902/
42011476,2026,Characterization of the Intestinal Metabolic Profiles Following Photon FLASH Irradiation.,Zhang S; Peng Q; Zhang J; Wang Z; Cheng X; Zhang Y; Cao Z,Dose-response : a publication of International Hormesis Society,Radiobiology,Radiobiology,10.1177/15593258261444836,PMC13091964,https://pubmed.ncbi.nlm.nih.gov/42011476/
42009057,2026,A beam model and Boltzmann solver for radiotherapy treatment planning of superficial brain metastases using a scanned electron beam at ultra-high (FLASH) dose rate.,Bedford J; Gross M; Riemer F; Amirkhanyan Z; Stephan F; Oelfke U,Physics in medicine and biology,Beam Delivery & Technology,Beam Delivery & Technology; Physics & Dosimetry; Treatment Planning & Optimization,10.1088/1361-6560/ae6225,PMC13145812,https://pubmed.ncbi.nlm.nih.gov/42009057/
42009045,2026,Feasibility of proton ultra-high-dose-rate spatially fractionated radiotherapy system for preclinical experiments on a compact proton synchrocyclotron.,Setianegara J; Wang A; Li W; Gerard N; Nys J; Chen RC; Gao H; Lin Y,Physics in medicine and biology,Physics & Dosimetry,Physics & Dosimetry; Treatment Planning & Optimization; Beam Delivery & Technology,10.1088/1361-6560/ae6224,,https://pubmed.ncbi.nlm.nih.gov/42009045/
42005725,2026,Development and application of in-vivo dose and time-resolved measurements for clinical application of ultra-high dose rate radiotherapy.,Dal Bello R; Psoroulas S; Flückiger D; Krayenbühl J; Kemper A; Kranzer R; Côté B; von der Grün J; Balermpas P; Guckenberger M; Tanadini-Lang S,Physics and imaging in radiation oncology,Physics & Dosimetry,Physics & Dosimetry; Beam Delivery & Technology; Clinical & Translational,10.1016/j.phro.2026.100959,PMC13085076,https://pubmed.ncbi.nlm.nih.gov/42005725/
42004842,2026,Emerging FLASH therapy platforms for stereotactic radiosurgery and body radiotherapy.,Chen D; Schulz JB; Melemenidis S; Skinner L; Xing L; Loo BW; Ashraf MR,Journal of radiosurgery and SBRT,Radiobiology,Radiobiology; Physics & Dosimetry; Treatment Planning & Optimization; Beam Delivery & Technology; Clinical & Translational,,PMC13007232,https://pubmed.ncbi.nlm.nih.gov/42004842/
42004839,2026,Developing Bragg-peak FLASH proton irradiator using permanent magnet synchrotron.,Qian X; Trbojevic D; Brooks S; Tsang T; Cattell R; Kim J; Zhang T; Ryu S,Journal of radiosurgery and SBRT,Beam Delivery & Technology,Beam Delivery & Technology,,PMC13007240,https://pubmed.ncbi.nlm.nih.gov/42004839/
42002152,2026,Unraveling the Redox Mechanisms Underlying FLASH Radiotherapy: Critical Dose Thresholds and NRF2-Driven Sparing of Tissue.,Zhang Y; Huang C; Hu A; Wang Y; Wang W; Zhu Y; Zhou W; Qiu J; Wang J; Li J; Huang T; Zha H; Fu Q,"International journal of radiation oncology, biology, physics",Radiobiology,Radiobiology; Modeling & Mechanisms; Physics & Dosimetry,10.1016/j.ijrobp.2026.04.016,,https://pubmed.ncbi.nlm.nih.gov/42002152/
42001737,2026,Technological innovations in head and neck radiotherapy: What does the future hold?,Modesto A; Boisselier P; Pointreau Y; Piram L; Thariat J; Blanchard P,Cancer radiotherapie : journal de la Societe francaise de radiotherapie oncologique,Reviews & Consensus,Reviews & Consensus; Beam Delivery & Technology; Clinical & Translational; Radiobiology,10.1016/j.canrad.2026.104807,,https://pubmed.ncbi.nlm.nih.gov/42001737/
41999511,2026,Challenges in dosimetry of ultra-high dose rate electron beams for FLASH radiotherapy: an overview.,Aknouch A; El-Ouardi Y; Belhaj OE; Oufni L; Semghouli S; Yjjou M; Mouslih S; El Mansouri M; Talbi M; Rachmoune K,Radiation and environmental biophysics,Reviews & Consensus,Reviews & Consensus; Physics & Dosimetry; Radiobiology; Clinical & Translational,10.1007/s00411-026-01217-8,,https://pubmed.ncbi.nlm.nih.gov/41999511/
41996464,2026,Ultra-high dose rate electron FLASH beam irradiation using a modified clinical linear accelerator.,Cho GS; Kim KT; Lee SS; Kim JH; Lee DH; Chang HS; Choi SH; Kim KB; Yang TK; An DH; Kim GB; Kang KU; Kang JK; Kim EJ; Paik EK; Kim MS; Jang WI; Yang KM,PloS one,Beam Delivery & Technology,Beam Delivery & Technology; Radiobiology,10.1371/journal.pone.0346577,PMC13089894,https://pubmed.ncbi.nlm.nih.gov/41996464/
41996280,2026,Bystander effects in both hypoxic cancer and normal cells under FLASH irradiation using proton microbeams.,Autsavapromporn N; Mamiya T; Liu C; Duangya A; Tengku Ahmad TA; Oikawa M; Konishi T,International journal of radiation biology,Radiobiology,Radiobiology,10.1080/09553002.2026.2654422,,https://pubmed.ncbi.nlm.nih.gov/41996280/
41992376,2026,A preclinical setup for FLASH radiotherapy beam delivery at isocenter using downstream electron scattering.,Ozoemelam I; Paplanus R; Pillainayagam M; Roberts DA; Litzenberg DW,Journal of applied clinical medical physics,Beam Delivery & Technology,Beam Delivery & Technology; Radiobiology; Physics & Dosimetry,10.1002/acm2.70582,PMC13086620,https://pubmed.ncbi.nlm.nih.gov/41992376/
41991991,2026,Long-lived coherences for the observation of oxidation kinetics on different timescales by NMR.,Sadet A; Stavarache C; Fidel I; Voda MA; Ciumeica A; Ionita E; Ciubotaru M; Vasos PR,Communications chemistry,Radiobiology,Radiobiology; Beam Delivery & Technology,10.1038/s42004-026-02002-w,PMC13269996,https://pubmed.ncbi.nlm.nih.gov/41991991/
41985517,2026,Monte Carlo and film dosimetry study of collimator effects on penumbra and out-of-field dose for very high-energy electrons.,Fischer J; Gilardi A; Malyzhenkov A; Korysko P; Hart A; Rieker V; Bateman J; Farabolini W; Corsini R; Dosanjh M; Bazalova-Carter M,Physics in medicine and biology,Modeling & Mechanisms,Modeling & Mechanisms; Beam Delivery & Technology; Physics & Dosimetry,10.1088/1361-6560/ae6018,,https://pubmed.ncbi.nlm.nih.gov/41985517/
41984546,2026,Experimental data-driven design of 3D range modulators for proton conformal FLASH applications.,Wang A; Setianegara J; Lin Y; Xiao P; Gerard N; Nys J; Chen RC; Xie Q; Gao H,Medical physics,Physics & Dosimetry,Physics & Dosimetry; Clinical & Translational; Beam Delivery & Technology; Modeling & Mechanisms; Treatment Planning & Optimization,10.1002/mp.70436,,https://pubmed.ncbi.nlm.nih.gov/41984546/
41984545,2026,"Enable preclinical, high-precision image-guided radiotherapy research with a stand-alone small animal IGRT system.",Deng W; Han D; Byrne KE; Bhandary B; Jiang K; Poirier YP; Mossahebi S; Xu J; Shukla H; Sawant A,Medical physics,Radiobiology,Radiobiology; Clinical & Translational,10.1002/mp.70426,PMC13082439,https://pubmed.ncbi.nlm.nih.gov/41984545/
41962747,2026,Split-Dose FLASH Irradiation to Investigate the Clinical Feasibility of Multifield Treatments: The Effect of Split Dose and Dose Rate on FLASH.,Erickson DPJ; Shaver BA; Grassberger C; Morimoto A; Seitz Z; Cui S; Cao N; Saini J; Wong T; Mian O; Ford E; Rengan R; Zeng J; Schwarz M,"International journal of radiation oncology, biology, physics",Radiobiology,Radiobiology,10.1016/j.ijrobp.2026.03.053,,https://pubmed.ncbi.nlm.nih.gov/41962747/
